Tiempo(s) | CPU_SLAM(%) | RAM_SLAM(MB) | GPU_SLAM(%) | VRAM_SLAM(MiB)
351 | 352 | 3153.32 | 99 | 1789
352 | 352 | 3153.51 | 96 | 1789
353 | 353 | 3153.51 | 100 | 1789
354 | 353 | 3154.18 | 88 | 1789
355 | 353 | 3154.18 | 99 | 1789
356 | 354 | 3154.3 | 87 | 1789
357 | 354 | 3154.3 | 99 | 1789
358 | 354 | 3154.96 | 74 | 1789
359 | 354 | 3154.96 | 98 | 1789
360 | 355 | 3156.85 | 87 | 1789
361 | 356 | 3156.85 | 95 | 1789
362 | 356 | 3157.18 | 93 | 1789
363 | 356 | 3157.26 | 95 | 1789
364 | 356 | 3157.31 | 99 | 1789
365 | 357 | 3157.58 | 89 | 1789
366 | 357 | 3158.08 | 98 | 1789
367 | 357 | 3158.08 | 67 | 1789
368 | 358 | 3158.62 | 83 | 1789
369 | 358 | 3158.62 | 78 | 1789
370 | 358 | 3159.24 | 68 | 1789
371 | 359 | 3159.24 | 99 | 1789
372 | 359 | 3159.82 | 93 | 1789
373 | 359 | 3159.82 | 100 | 1789
374 | 360 | 3160.52 | 96 | 1789
375 | 359 | 3160.52 | 93 | 1789
376 | 358 | 3161.39 | 100 | 1789
377 | 358 | 3161.39 | 99 | 1789
378 | 358 | 3162.21 | 100 | 1789
379 | 358 | 3162.21 | 98 | 1789
380 | 357 | 3162.52 | 100 | 1789
381 | 357 | 3162.52 | 98 | 1789
382 | 357 | 3163.2 | 99 | 1789
383 | 356 | 3163.66 | 99 | 1789
384 | 356 | 3163.66 | 99 | 1789
385 | 356 | 3164.07 | 99 | 1789
386 | 355 | 3164.07 | 98 | 1789
387 | 355 | 3164.71 | 99 | 1789
388 | 355 | 3164.71 | 100 | 1789
389 | 354 | 3165.39 | 98 | 1789
390 | 353 | 3165.39 | 99 | 1789
391 | 353 | 3166.01 | 99 | 1789
392 | 353 | 3166.06 | 99 | 1789
393 | 353 | 3166.43 | 98 | 1789
394 | 352 | 3166.43 | 99 | 1789
395 | 352 | 3166.86 | 97 | 1789
396 | 352 | 3166.86 | 100 | 1789
397 | 352 | 3167.5 | 97 | 1789
398 | 352 | 3167.51 | 88 | 1789
399 | 352 | 3168.2 | 77 | 1789
400 | 352 | 3168.2 | 97 | 1789
401 | 353 | 3169.17 | 78 | 1789
402 | 353 | 3169.17 | 100 | 1789
403 | 354 | 3169.89 | 93 | 1789
404 | 353 | 3169.89 | 100 | 1789
405 | 354 | 3170.15 | 91 | 1789
406 | 354 | 3170.15 | 92 | 1789
407 | 354 | 3170.85 | 95 | 1789
408 | 355 | 3170.85 | 91 | 1789
409 | 354 | 3171.41 | 92 | 1789
410 | 355 | 3171.41 | 91 | 1789
411 | 355 | 3171.55 | 93 | 1789
412 | 355 | 3172.24 | 87 | 1789
413 | 356 | 3172.24 | 95 | 1789
414 | 356 | 3172.83 | 83 | 1789
415 | 357 | 3172.83 | 99 | 1789
416 | 356 | 3173.56 | 87 | 1789
417 | 357 | 3173.56 | 95 | 1789
418 | 357 | 3173.56 | 99 | 1789
419 | 357 | 3173.95 | 95 | 1789
420 | 358 | 3173.95 | 99 | 1789
421 | 357 | 3174 | 84 | 1789
422 | 358 | 3174 | 98 | 1789
423 | 359 | 3174.2 | 97 | 1789
424 | 358 | 3174.2 | 97 | 1789
425 | 359 | 3174.6 | 94 | 1789
426 | 359 | 3174.68 | 89 | 1789
427 | 359 | 3175.57 | 90 | 1789
428 | 360 | 3175.57 | 93 | 1789
429 | 360 | 3176.77 | 90 | 1789
430 | 360 | 3178 | 93 | 1789
431 | 360 | 3178 | 92 | 1789
432 | 360 | 3178.66 | 90 | 1789
433 | 361 | 3179.08 | 97 | 1789
434 | 361 | 3179.11 | 87 | 1789
435 | 361 | 3180.3 | 73 | 1789
436 | 361 | 3181.07 | 88 | 1789
437 | 362 | 3182.18 | 92 | 1789
438 | 362 | 3182.18 | 98 | 1789
439 | 362 | 3183.03 | 89 | 1789
440 | 362 | 3183.03 | 98 | 1789
441 | 362 | 3184.09 | 64 | 1789
442 | 363 | 3184.09 | 98 | 1789
443 | 363 | 3185.06 | 92 | 1789
444 | 363 | 3185.06 | 99 | 1789
445 | 363 | 3185.89 | 93 | 1789
446 | 364 | 3185.89 | 100 | 1789
447 | 364 | 3189.26 | 99 | 1789
448 | 364 | 3189.26 | 99 | 1790
449 | 364 | 3190.71 | 68 | 1790
450 | 364 | 3190.71 | 99 | 1790
451 | 365 | 3191.17 | 79 | 1790
452 | 364 | 3191.17 | 97 | 1790
453 | 365 | 3191.29 | 100 | 1790
454 | 365 | 3190.95 | 95 | 1780
455 | 365 | 3191.02 | 100 | 1780
456 | 365 | 3191.06 | 100 | 1784
457 | 365 | 3191.06 | 98 | 1785
458 | 366 | 3191.21 | 97 | 1783
459 | 366 | 3191.21 | 98 | 1783
460 | 366 | 3193.36 | 100 | 1783
461 | 366 | 3193.36 | 100 | 1780
462 | 366 | 3193.36 | 100 | 1780
463 | 366 | 3194.73 | 100 | 1781
464 | 366 | 3194.73 | 100 | 1781
465 | 367 | 3194.99 | 97 | 1863
466 | 367 | 3195.2 | 99 | 1863
467 | 367 | 3195.27 | 99 | 1860
468 | 367 | 3195.62 | 93 | 1808
469 | 368 | 3195.62 | 82 | 1810
470 | 368 | 3195.62 | 99 | 1810
471 | 368 | 3195.95 | 80 | 1810
472 | 368 | 3195.95 | 95 | 1809
473 | 368 | 3196.22 | 92 | 1809
474 | 369 | 3196.22 | 90 | 1809
475 | 368 | 3196.22 | 93 | 1783
476 | 369 | 3196.96 | 60 | 1783
477 | 369 | 3196.96 | 98 | 1862
478 | 369 | 3197.16 | 90 | 1867
479 | 370 | 3197.16 | 79 | 1867
480 | 370 | 3197.16 | 100 | 1867
481 | 370 | 3197.58 | 88 | 1867
482 | 370 | 3197.58 | 88 | 1867
483 | 370 | 3197.75 | 93 | 1867
484 | 371 | 3198.65 | 88 | 1788
485 | 371 | 3198.65 | 99 | 1788
486 | 371 | 3198.68 | 95 | 1787
487 | 371 | 3198.68 | 93 | 1787
488 | 372 | 3198.69 | 86 | 1787
489 | 372 | 3200.31 | 61 | 1787
490 | 372 | 3200.31 | 100 | 1787
491 | 372 | 3201.72 | 87 | 1787
492 | 372 | 3201.72 | 84 | 1781
493 | 372 | 3201.72 | 94 | 1780
494 | 373 | 3203.09 | 62 | 1780
495 | 373 | 3203.1 | 100 | 1780
496 | 373 | 3203.67 | 93 | 1780
497 | 373 | 3203.67 | 92 | 1780
498 | 373 | 3203.67 | 97 | 1780
499 | 373 | 3203.77 | 80 | 1780
500 | 374 | 3203.77 | 97 | 1780
501 | 374 | 3203.78 | 72 | 1780
502 | 374 | 3203.78 | 84 | 1780
503 | 374 | 3203.78 | 97 | 1780
504 | 374 | 3204.17 | 80 | 1780
505 | 374 | 3204.17 | 96 | 1780
506 | 375 | 3204.42 | 69 | 1780
507 | 375 | 3204.42 | 82 | 1780
508 | 375 | 3204.43 | 85 | 1780
509 | 376 | 3204.67 | 83 | 1780
510 | 375 | 3204.67 | 100 | 1780
511 | 376 | 3204.74 | 83 | 1780
512 | 376 | 3204.74 | 91 | 1780
513 | 376 | 3204.74 | 92 | 1780
514 | 376 | 3204.74 | 98 | 1780
515 | 376 | 3192.57 | 90 | 1779
